lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
s,s,1,s::n,n,271,7.316033195866643,,
do,do,2,do::n;do::v,n;v,210,6.787261912174824,3.6,2.46
no,no,2,no::a;no::n,a;n,498,6.7754927459819,2.715564,2.45
can,can,2,can::n;can::v,n;v,1795,6.719354331308571,4.32,4.55
all,all,1,all::a,a,70,6.712212420338913,4.239515000000001,2.27
get,get,1,get::n,n,74,6.66062849230587,3.17,2.38
here,here,1,here::a,a,2,6.655049247524397,3.738636,3.13
so,so,1,so::n,n,414,6.627197751579461,5.14536,1.42
right,right,2,right::a;right::n,a;n,297,6.602376646359637,4.346085,3.47
like,like,1,like::v,v,101,6.601353592943822,3.6853510000000003,1.89
out,out,3,out::a;out::n;out::v,a;n;v,414,6.586591270205694,3.280385,2.73
go,go,1,go::v,v,80,6.578393896124764,3.37,3.15
up,up,1,up::a,a,74,6.564072702809289,2.918047,3.83
come,come,1,come::v,v,81,6.496472254640901,3.32,2.72
well,well,2,well::n;well::r,n;r,237,6.475172328433664,6.157775000000001,3.33
want,want,1,want::v,v,6,6.4401868823515045,4.16,1.93
good,good,2,good::a;good::r,a;r,90,6.4160709261850934,3.55,1.64
let,let,1,let::n,n,18,6.383085947944817,4.53,2.26
will,will,1,will::n,n,318,6.326490668604775,7.53,2.64
back,back,2,back::a;back::n,a;n,481,6.302422401748658,5.3052150000000005,4.33
time,time,2,time::n;time::v,n;v,852,6.29136050297892,5.16,3.07
look,look,1,look::v,v,63,6.288835870185782,4.05,2.96
take,take,1,take::v,v,171,6.276109356519957,4.37,3.06
tell,tell,1,tell::n,n,32,6.23606998593794,4.26,2.9
down,down,2,down::a;down::n,a;n,282,6.172676305490812,4.93222,3.52
make,make,2,make::n;make::v,n;v,1043,6.141720156407864,4.68,2.67
over,over,1,over::n,n,748,6.121067135292526,5.571640000000001,2.46
more,more,3,more::a;more::n;more::r,a;n;r,700,6.112882339773854,3.781264,2.37
need,need,1,need::n,n,64,6.111647782919253,3.56,1.69
mean,mean,1,mean::v,v,6,6.094224698597197,4.0,2.5
very,very,1,very::a,a,183,6.093272155268496,4.900249000000001,1.43
give,give,2,give::n;give::v,n;v,217,6.066788831224598,4.28,2.83
sure,sure,1,sure::r,r,11,6.040735067507489,4.85,1.73
thing,thing,1,thing::n,n,174,6.036307065878121,4.58,3.17
help,help,1,help::v,v,17,5.963728665708805,3.65,2.56
god,god,1,god::n,n,357,5.955176933134951,4.346085,2.07
night,night,1,night::n,n,147,5.936951708951002,3.61,4.52
talk,talk,1,talk::v,v,61,5.931380392596807,3.68,4.07
first,first,1,first::n,n,1068,5.9239876256550925,4.388713,2.76
put,put,1,put::v,v,175,5.917681413262269,3.72,2.5
great,great,2,great::a;great::n,a;n,262,5.913685237688773,5.05,1.81
thought,thought,1,thought::n,n,234,5.907079076170835,5.891350000000001,1.97
day,day,1,day::n,n,319,5.903493734796248,3.5,3.92
work,work,2,work::n;work::v,n;v,553,5.90142855136968,5.86,3.48
life,life,1,life::n,n,504,5.9006809644708715,5.89,2.69
before,before,1,before::r,r,575,5.899310611470681,5.454413000000001,1.96
better,better,1,better::r,r,10,5.899235545446485,5.017476,1.91
again,again,1,again::r,r,214,5.898527141458522,5.784780000000001,2.0
still,still,1,still::v,v,12,5.896340991412325,5.262587000000001,3.46
home,home,2,home::r;home::v,r;v,16,5.888343270486459,3.8665200000000004,4.11
around,around,1,around::r,r,668,5.866721573179559,5.944635000000001,1.96
stop,stop,1,stop::v,v,49,5.849004364442974,2.89,3.68
keep,keep,1,keep::v,v,48,5.846286957993113,4.42,2.37
must,must,1,must::n,n,129,5.844039837815181,4.58,2.13
things,things,1,things::n,n,446,5.840076108550553,,
after,after,1,after::a,a,121,5.833575592240191,5.997920000000001,2.12
