sense_id,status_pre_aug,status_post_aug
oewn-aardvark__1.05.00..,background,background
oewn-abaca__1.20.00..,background,background
oewn-abaca__1.27.00..,background,background
oewn-abandon__1.07.00..,artifact,artifact
oewn-abandon__2.38.00..,artifact,external
oewn-abandoned__5.00.00.uninhabited.00,artifact,artifact
oewn-abbey__1.06.00..,artifact,artifact
oewn-abbey__1.06.02..,artifact,artifact
oewn-abbot__1.18.00..,artifact,artifact
oewn-abbreviation__1.10.00..,artifact,artifact
oewn-abdomen__1.08.00..,background,background
oewn-abdominal__1.08.00..,background,background
oewn-aberration__1.26.01..,artifact,artifact
oewn-abeyance__1.26.00..,artifact,artifact
oewn-ability__1.07.00..,background,background
oewn-ability__1.09.00..,background,background
oewn-abjectly__4.02.00..,artifact,artifact
oewn-able__3.00.00..,background,background
oewn-able__5.00.00.competent.00,background,background
oewn-able__5.00.00.fit.01,background,background
oewn-abnormal__3.00.00..,background,background
oewn-abnormality__1.26.00..,artifact,artifact
oewn-abnormally__4.02.00..,background,background
oewn-abode__1.15.00..,artifact,artifact
oewn-aboriginal__1.18.01..,artifact,artifact
oewn-abortion__1.04.00..,artifact,artifact
oewn-abounding__5.00.00.abundant.00,artifact,artifact
oewn-about__4.02.00..,background,background
oewn-about__4.02.02..,background,background
oewn-about__4.02.05..,background,background
oewn-about__5.00.00.active.01,background,background
oewn-above__1.10.00..,closed,closed
oewn-above__4.02.00..,closed,closed
oewn-above__4.02.01..,closed,closed
oewn-above__5.00.00.preceding.00,closed,closed
oewn-abrasion__1.26.00..,artifact,artifact
oewn-abrasive__1.27.00..,artifact,artifact
oewn-abrasive__5.00.00.rough.00,artifact,artifact
oewn-abreast__4.02.00..,artifact,background
oewn-abrupt__5.00.00.staccato.00,artifact,artifact
oewn-abruptly__4.02.01..,artifact,artifact
oewn-absence__1.04.00..,background,background
oewn-absence__1.26.00..,background,background
oewn-absence__1.26.01..,background,background
oewn-absence__1.28.00..,background,background
oewn-absent__2.30.00..,external,external
oewn-absolute__1.09.00..,artifact,artifact
oewn-absolute__3.00.00..,artifact,artifact
oewn-absolutely__4.02.00..,artifact,artifact
oewn-absolution__1.04.00..,background,background
oewn-absolution__1.26.00..,background,background
oewn-absorb__2.35.01..,artifact,artifact
oewn-absorbed__5.00.00.attentive.00,artifact,artifact
oewn-absorbency__1.07.00..,artifact,artifact
oewn-absorbent__1.27.00..,artifact,artifact
oewn-absorbing__5.00.00.interesting.00,artifact,external
oewn-absorption__1.22.00..,artifact,artifact
oewn-absorption__1.22.02..,artifact,artifact
oewn-abstain__2.41.00..,artifact,artifact
oewn-abstract__1.09.00..,background,background
oewn-abstract__1.10.00..,background,background
oewn-abstract__2.31.00..,background,background
oewn-abstract__2.40.00..,background,background
oewn-abstract__3.00.00..,background,background
oewn-abstract__5.00.00.nonrepresentational.00,background,background
oewn-abstraction__1.03.00..,artifact,artifact
oewn-abstraction__1.09.00..,artifact,artifact
oewn-abstractly__4.02.00..,background,background
oewn-abstruse__5.00.00.esoteric.00,artifact,artifact
oewn-abundance__1.07.00..,artifact,artifact
oewn-abundant__3.00.00..,background,background
oewn-abundantly__4.02.00..,background,background
oewn-abuse__1.04.02..,artifact,artifact
oewn-abusive__5.00.00.offensive.02,artifact,artifact
oewn-academe__1.14.00..,artifact,artifact
oewn-academic__1.18.00..,artifact,artifact
oewn-academic__5.00.00.theoretical.01,artifact,artifact
oewn-academy__1.14.00..,artifact,artifact
oewn-accelerated__5.00.00.fast.01,artifact,artifact
oewn-acceleration__1.07.00..,artifact,artifact
oewn-accelerator__1.06.02..,artifact,artifact
oewn-accent__1.10.01..,artifact,artifact
oewn-accent__2.32.00..,artifact,artifact
oewn-accent__2.32.01..,artifact,artifact
oewn-accept__2.31.00..,artifact,artifact
oewn-accept__2.40.00..,artifact,background
oewn-acceptable__3.00.00..,background,background
oewn-acceptable__5.00.00.standard.03,background,background
oewn-acceptance__1.09.00..,artifact,artifact
oewn-accepted__5.00.00.acknowledged.00,artifact,artifact
oewn-accepting__5.00.00.acceptive.00,background,background
oewn-access__1.07.00..,artifact,artifact
oewn-access__1.10.00..,artifact,artifact
oewn-access__2.40.00..,artifact,artifact
oewn-accessible__3.00.00..,background,background
oewn-accessible__5.00.00.comprehensible.00,external,external
oewn-accessory__1.06.01..,artifact,artifact
oewn-accident__1.11.01..,external,external
oewn-accidental__1.10.00..,artifact,artifact
oewn-accidentally__4.02.00..,artifact,artifact
oewn-accommodate__2.30.01..,artifact,artifact
oewn-accommodate__2.42.00..,artifact,artifact
oewn-accommodating__5.00.00.helpful.00,artifact,artifact
oewn-accompanied__3.00.00..,artifact,artifact
oewn-accompaniment__1.10.00..,artifact,artifact
oewn-accompaniment__1.11.00..,artifact,artifact
oewn-accompany__2.42.00..,background,background
oewn-accomplish__2.36.00..,background,background
oewn-accomplish__2.41.00..,background,background
oewn-accomplished__5.00.00.skilled.00,artifact,artifact
oewn-accomplishment__1.04.00..,closed,closed
oewn-accord__1.26.00..,artifact,artifact
oewn-accord__2.42.00..,artifact,artifact
oewn-accordance__1.04.00..,background,background
oewn-accordance__1.10.00..,background,background
oewn-accordant__5.00.00.consistent.00,artifact,artifact
oewn-according__5.00.00.accordant.00,artifact,artifact
oewn-account__1.10.00..,artifact,artifact
oewn-account__1.10.02..,artifact,artifact
oewn-account__1.26.00..,artifact,artifact
oewn-account__2.42.01..,artifact,artifact
oewn-accountable__5.00.00.responsible.00,artifact,artifact
